open,high,low,close,volume,date
143.535,144.89,142.66,144.57,104591949.0,0.0,2021-07-07
140.07,143.15,140.07,142.02,108181793.0,0.0,2021-07-06
137.9,140.0,137.75,139.96,78852600.0,0.0,2021-07-02
136.6,137.33,135.76,137.27,52485781.0,0.0,2021-07-01
136.17,137.4,135.87,136.96,63261393.0,0.0,2021-06-30
134.8,136.49,134.3599,136.33,64556081.0,0.0,2021-06-29
133.41,135.245,133.3857,134.78,62111303.0,0.0,2021-06-28
133.46,133.89,132.81,133.11,70730700.0,0.0,2021-06-25
134.45,134.64,132.93,133.41,68710998.0,0.0,2021-06-24
133.77,134.32,133.23,133.7,60214200.0,0.0,2021-06-23
132.13,134.08,131.62,133.98,74783618.0,0.0,2021-06-22
130.3,132.41,129.2118,132.3,79663316.0,0.0,2021-06-21
130.71,131.51,130.25,130.46,108953309.0,0.0,2021-06-18
129.8,132.55,129.65,131.79,96230975.0,0.0,2021-06-17
130.37,130.89,128.461,130.15,91815026.0,0.0,2021-06-16
129.94,130.59,129.39,129.64,62345416.0,0.0,2021-06-15
127.82,130.49,127.07,130.48,96650035.0,0.0,2021-06-14
